  ŠIFRANT   LOOB         ŠIFRANT UPRAVNIH ENOT IN STARIH OBÈIN
  5501                   AJDOVŠÈINA
  5502                   BREŽICE
  5503                   CELJE
  5504                   CERKNICA
  5505                   ÈRNOMELJ
  5506                   DOMŽALE
  5507                   DRAVOGRAD
  5508                   GORNJA RADGONA
  5509                   GROSUPLJE
  5510                   HRASTNIK
  5511                   IDRIJA
  5512                   ILIRSKA BISTRICA
  5513                   IZOLA
  5514                   JESENICE
  5515                   KAMNIK
  5516                   KOÈEVJE
  5517                   KOPER
  5518                   KRANJ
  5519                   KRŠKO
  5520                   LAŠKO
  5521                   LENART
  5522                   LENDAVA
  5523                   LITIJA
  5524                   LJUBLJANA BEŽIGRAD
  5525                   LJUBLJANA CENTER
  5526                   LJUBLJANA MOSTE POLJE
  5527                   LJUBLJANA ŠIŠKA
  5528                   LJUBLJANA VIÈ RUDNIK
  5529                   LJUTOMER
  5530                   LOGATEC
  5534                   METLIKA
  5535                   MOZIRJE
  5536                   MURSKA SOBOTA
  5537                   NOVA GORICA
  5538                   NOVO MESTO
  5539                   ORMOŽ
  5540                   PIRAN
  5541                   POSTOJNA
  5542                   PTUJ
  5543                   RADLJE OB DRAVI
  5544                   RADOVLJICA
  5545                   RAVNE NA KOROŠKEM
  5546                   RIBNICA
  5547                   SEVNICA
  5548                   SEŽANA
  5549                   SLOVENJ GRADEC
  5550                   SLOVENSKA BISTRICA
  5551                   SLOVENSKE KONJICE
  5552                   ŠENTJUR PRI CELJU
  5553                   ŠKOFJA LOKA
  5554                   ŠMARJE PRI JELŠAH
  5555                   TOLMIN
  5556                   TRBOVLJE
  5557                   TREBNJE
  5558                   TRŽIÈ
  5559                   VELENJE
  5560                   VRHNIKA
  5561                   ZAGORJE OB SAVI
  5562                   ŽALEC
  5564                   MARIBOR
  5565                   PESNICA
  5568                   RUŠE
  5598                   MNZ
  5599                   NEZNANA OBÈ
    
  ŠIFRANT   LOPM         ŠIFRANT POLICIJSKIH UPRAV
  A00                    PU KRŠKO
  C00                    PU POSTOJNA
  D00                    PU SLOVENJ GRADEC
  100                    PU CELJE
  200                    PU NOVA GORICA
  300                    PU KOPER
  400                    PU KRANJ
  500                    PU LJUBLJANA
  600                    PU MARIBOR
  700                    PU MURSKA SOBOTA
  800                    PU NOVO MESTO
  900                    MNZ (ZA STATISTIKO R SLOVENIJA)
  998                    TUJI VARNOSTNI ORGANI
  999                    NEZNANO

  ŠIFRANT  KDPR          PODROBEN OPIS PRIZORIŠÈA
  ŽE                     ŽELEZNIŠKA PROGA (VKLJUÈ. Z MOSTOVI, PREDORI, ZEMLJIŠÈEM OB PROGI IPD)
  ŽP                     ŽELEZNIŠKO, PRISTANIŠKO ALI LATALIŠKO SKLADIŠÈE
  ŠD                     ŠPORTNA DVORANA, STADION
  ŠI                     ŠPORTNO IGRIŠÈE, UREJENO KOPALIŠÈE, SMUÈIŠÈE
  ŠS                     ŠPORTNO STRELIŠÈE
  AP                     AGENCIJA ZA PLAÈILNI PROMET
  AV                     AVTOBUS. ALI ŽELEZ. POST. (RAZEN UPR., GOST.,TRGOV. IN SKLAD. PROST.)
  BH                     BANKA, HRANILNICA
  BO                     BOLNIŠNICA (RAZEN LEKARNE)
  BP                     BORZNA HIŠA, POOBLAŠÈENA INVESTICIJSKA DRUŽBA
  BS                     BENCINSKI SERVIS
  CŽ                     CERKEV, ŽUPNIŠÈE
  CA                     CARINSKO SKLADIŠÈE
  CE                     CESTA ZUNAJ NASELJA(VKLJUÈ. Z MOST., PREDORI, POSTJAL. CESTN.POS. IPD)
  CS                     CESTNO VOZILO
  CV                     CESTA, ULICA ALI TRG V NASELJU (VKLJUÈ. S POSTAJAL., MOST., POLÈ. IPD)
  DŠ                     DRUŠTVO
  DD                     DIPLOMATSKO KONZULARNO PREDSTAVNIŠTVO
  DI                     DIJAŠKI, ŠTUDENTSKI ALI SAMSKI DOM
  DM                     DRŽAVNA MEJA ZUNAJ MEJNEGA PREHODA
  DS                     DISKOTEKA, PLESIŠÈE, NOÈNI KLUB
  DZ                     DOM ZA STAREJŠE, OTROKE, TELESNO ALI DUŠEVNO PRIZADETE
  EO                     ENERGETSKI OBJEKT (ELEKTRARNA,TOPLARNA,PLINARNA IPD.)
  GA                     GALERIJA, RAZSTAVNI PROSTOR UMETNIŠKIH DEL
  GD                     GRADBIŠÈE DRUGEGA GOSPODARSKEGA ALI NEGOSPODARSKEGA OBJEKTA
  GH                     GLEDALIŠÈE, OPERNA HIŠA, KONCERTNA DVORANA
  GI                     GRADBIŠÈE INFRASTRUKTURNEGA OBJEKTA(CESTA,ŽELEZNICA,HIDROGRADNJA...)
  GL                     GOSTINSKI LOKAL (GOSTILNA,BIFE,OKREPÈEVALNICA,SLAŠÈIÈARNA...)
  GO                     GOZD
  GP                     GRADBENO PODJETJE
  GS                     GRADBIŠÈE STANOVANJSKEGA OBJEKTA
  GT                     GOSTINSKO ALI TURISTIÈNO PODJETJE
  HO                     HOTEL, MOTEL (RAZEN UPRAV., GOSTINS. IN TRGOV. PROSTOROV TER IGRALNIC)
  IG                     IGRALNICA
  IN                     INDUSTRIJSKO SKLADIŠÈA
  IR                     INDUSTRIJSKO ALI RUDARSKO PODJETJE
  KA                     KNJIŽNICA, ARHIV
  KE                     KAPELICA
  KG                     KMETIJSKO ALI GOZDARSKO PODJETJE
  KI                     KINEMATOGRAF
  KO                     KMETIJSKI OBJEKT (HLEV, FARMA, RASTLINJAK IPD.)
  KP                     KLASIÈNA PRODAJALNA Z MEŠANIM BLAGOM
  LE                     LETALIŠÈE (RAZEN UPRAVNIH, GOSTINSKIH, TRGOVSKIH IN SKLADIŠÈ. PROST.)
  LI                     LETALO
  LK                     LEKARNA (SAMOSTOJNA ALI V OKVIRU BOLNIŠNICE)
  LU                     PRISTANIŠÈE, LUKA
  ME                     MEJNI PREHOD
  MN                     MENJALNICA
  MP                     MESTNI PARK
  MU                     MUZEJ
  NO                     NOTARSKA ALI ODVETNIŠKA PISARNA
  NP                     NARODNI PARK
  OŠ                     OSNOVNA ŠOLA
  OD                     OBRTNA DELAVNICA, SERVIS ALI SALON
  OK                     OBJEKT KULTURNE DEDIŠÈINE (GRAD,DVOREC,SPOMINSKA HIŠA IPD.)
  OL                     ORGAN LOKALNE SKUPNOSTI(KRAJEVNA SKUPNOST,OBÈINA,POKRAJINA)
  OS                     OSTALI PROSTORI V BLOKU (KLET, KOTLOVNICA, GARAŽNI BOKS..)
  PÈ                     POÈITNIŠKA HIŠA (VIKEND), BUNGALOV, BIVALNA PRIKOLICA
  PŠ                     POŠTA
  PA                     PARKIRIŠÈE
  PB                     PODJETJE S PODROÈJA OBRTI ALI OSEBNIH STORITEV
  PD                     PREHODNI DOM ZA TUJCE, BEGUNSKI CENTER
  PF                     PODJETJE S PODROÈJA FINANC IN DRUGIH POSLOVNIH STORITEV
  PH                     PARKIRNA HIŠA
  PI                     POLITIÈNA STRANKA
  PK                     POKOPALIŠÈE
  PL                     POKLICNA ALI SREDNJA ŠOLA
  PM                     PARLAMENT
  PN                     PLOVILO
  PO                     POLJE, SADOVJAK, VINOGRAD, ARBORETUM
  PP                     POÈITNIŠKI ALI PLANINSKI DOM
  PR                     PRISTANIŠÈE, MARINA (RAZEN UPRAVNIH, GOST.,TRGO.,SKLAD.PROSTOROV)
  PS                     PRODAJNI KIOSK, STOJNICA
  PT                     PROTOKOLARNO OBMOÈJE
  PV                     POSLOVNO ZDRUŽENJE ALI SKLAD
  PZ                     PODJETJE S PODROÈJA PROMETA ALI ZVEZ
  RU                     RUDNIK
  SA                     SAMOSTAN
  SE                     SVETOVALNA, PROJEKRANTSKA ALI REVIZIJSKA ORGANIZACIJA
  SG                     SKLADIŠÈE GRADBENEGA MATERIALA
  SK                     SKLADIŠÈE KMETIJSKIH PRIDELKOV IN KRMIL
  SM                     SMETIŠÈE
  SN                     STANOVANJSKO KOMUNALNO PODJETJE
  SO                     SINDIKALNA ORGANIZ.,DELODAJALSKO ALI STROK.ZDRUŽENJE(ZBORNICA)
  SP                     SAMOPOSTREŽNA TRGOVINA
  SR                     SAMOSTOJNI RAZVOJNO RAZISKOVALNI INŠTITUT
  ST                     STANOVANJSKA HIŠA ZUNAJ NASELJA
  SV                     STANOVANJSKA HIŠA V NASELJU
  TG                     TRGOVINSKO SKLADIŠÈE
  TH                     TOVARNIŠKA HALA
  TK                     TABOR, KAMP
  TO                     TOŽILSTVO, SODIŠÈE
  TP                     TRGOVSKO PODJETJE
  TR                     TRAVNIK, PAŠNIK, GRMIÈEVJE, NEPORAŠÈEN SVET
  TS                     TRŽNICA, SEJEMSKI PROSTOR
  UE                     UPRAVNA ENOTA, IZPOSTAVA UPRAVNE ENOTE
  UP                     PROSTORI POLICIJE
  UV                     VOZILO POLICIJE
  VÈ                     STANOVANJE V BLOKU
  VA                     VISOKA STROKOVNA ŠOLA, AKADEMIJA, FAKULTETA
  VE                     VELEBLAGOVNICA
  VI                     VZGOJNOVARSTVENA,IZOBRAŽEVALNA,KULTURNA ALI TELESNOKULTURNA ORGANIZACI
