ŠIFRANT  KDKO  KD - KRIMINALISTIÈNA OZNAÈBA
1271           DVOJNI
1272           MNOŽIÈNI
1273           SERIJSKI
1274           UMOR IN SAMOMOR
1275           PO NAROÈILU
1276           DOLGOTRAJNI SPOR
128A           ZARADI NAPADA - O
128B           ZARADI HUDE ŽALITVE - O
131A           NAPELJEVANJE K SAMOMORU - O
131B           POMOÈ PRI SAMOMORU - O
1311           BISTVENO ZMANJŠANA PRIŠTEVNOST ŽRTVE
1312           FIZIÈNO NASILJE NAD ŽRTVIJO
1313           PSIHIÈNO NASILJE NAD ŽRTVIJO
132A           PREKINITEV NOSEÈNOSTI - O
132B           NEDOKONÈANA PREKINITEV NOSEÈNOSTI - O
132C           POMOÈ PRI PREKINITVI NOSEÈNOSTI - O
1321           ZDRAVNIK V ZDRAVSTVENI USTANOVI
1322           ZDRAVNIK IZVEN ZDRAVSTVENE USTANOVE
1323           MAZAŠTVO
133A           ZAÈASNA OKVARA/OSLABITEV DELA TELESA/ORGANA - O
133B           ZAÈASNO ZMANJŠANA ZMOŽNOST ZA DELO - O
133C           PRIZADETA ZUNANJOST - O
133D           ZAÈASNA OKVARA ZDRAVJA(BOLEZEN) - O
133E           S PRIVOLITVIJO
1331           ZARADI SPORA, PREPIRA
1332           PRI DELU
1333           PO NAROÈILU
1334           PRI IZSILJEVANJU
1335           V SKUPINI
134A           POTENCIALNA NEVARNOST ZA ŽIVLJENJE - O
134B           UNIÈENJE/ZNATNA OSLABITEV DELA TELESA/ORGANA - O
134C           ZAÈASNA ZNATNA OSLABITEV POMEMBNEGA DELA TELESA/ORGANA - O
134D           ZAÈASNA NEZMOŽNOST ZA VSAKRŠNO DELO - O
134E           TRAJNO ZMANJŠANA ZMOŽNOST ZA DELO - O
134F           ZAÈASNO ZNATNO ZMANJŠANA ZMOŽNOST ZA DELO - O
134G           ZAÈASNA SKAŽENOST - O
134H           ZAÈASNO HUDO ALI ZA VSELEJ V MANJŠI MERI OKVARJENO ZDRAVJE - O
1341           ZARADI SPORA, PREPIRA
1342           PRI DELU
1343           PO NAROÈILU
1344           PRI IZSILJEVANJU
1345           V SKUPINI
1346           S PRIVOLITVIJO
135A           DEJANSKA NEVARNOST ZA ŽIVLJENJE - O
135B           UNIÈEN/ZA VSELEJ ZNATNO OSLABLJEN POMEMBEN DEL TELESA/ORGANA - O
135C           TRAJNA NEZMOŽNOST ZA VSAKRŠNO DELO - O
135D           TRAJNA SKAŽENOST - O
135E           TRAJNO HUDO OKVARJENO ZDRAVJE - O
1351           ZARADI SPORA, PREPIRA
1352           PRI DELU
1353           PO NAROÈILU
1354           PRI IZSILJEVANJU
1355           V SKUPINI
1356           S PRIVOLITVIJO
136A           S HUDIMI TELESNIMI POŠKODBAMI- O
136B           S SMRTNIM IZIDOM - O
1361           NAÈRTOVAN PRETEP
137A           NEVARNOST HUDE TELESNE POŠKODBE - O
137B           NEVARNOST HUDE OKVARE ZDRAVJA - O
139A           OPUSTITEV POMOÈI ZAUPANI OSEBI - O
139B           OPUSTITEV POMOÈI OSEBI, ZA KATERO JE DOLŽAN SKRBETI - O
139C           NEVARNOST ZA ŽIVLJENJE - O
139D           NEVARNOST ZA ZDRAVJE - O
140A           BREZ NEVARNOSTI ZA STORILCA - O
140B           BREZ NEVARNOSTI ZA TRETJO OSEBO - O
141A           OMEJITEV PRAVIC ALI SVOBOŠÈIN - O
141B           DODELITEV POSEBNE PRAVICE ALI UGODNOSTI - O
141C           PROTI POSAMEZNIKU, KI SE ZAVZEMA ZA ENAKOPRAVNOST - O
141D           PROTI ORGANIZACIJI, KI SE ZAVZEMA ZA ENAKOPRAVNOST - O
142A           FIZIÈNA PRISILA - O
142B           PRISILA Z RESNO GROŽNJO - O
142C           K STORITVI - O
142D           K OPUSTITVI - O
142E           K TRPLJENJU - O
143A           ZAPRTJE V PROSTOR - O
143B           PRIKLENITEV, VEZANJE IPD. - O
143C           NA GROZOVIT NAÈIN - O
143D           ZA DALJŠE OBDOBJE(VEÈ KOT TEDEN DNI) - O
144A           PRISILJENJE ŽRTVE V DOLOÈENO RAVNANJE -O
144B           PRISILJENJE TRETJE OSEBE V DOLOÈENO RAVNANJE - O
144C           GROŽNJA Z UMOROM - O
144D           GROŽNJA S HUDO TELESNO POŠKODBO - O
144E           Z NAMENOM JEMANJA TALCEV
144F           ÈEZMEJNA SITUACIJA
1441           S PRESLEPITVIJO
145A           GROŽNJA Z NAPADOM NA TELO - O
145B           GROŽNJA Z NAPADOM NA ŽIVLJENJE - O
145C           GROŽNJA Z NAPADOM NA NJEGOVO PROSTOST - O
145D           GROŽNJA Z UNIÈENJEM NJEGOVEGA PREMOŽENJA VELIKE VREDNOSTI - O
145E           GROŽNJA Z NAPADOM NA ŽIVLJENJE BLIŽNJE OSEBE - O
145F           GROŽNJA Z NAPADOM NA TELO BLIŽNJE OSEBE - O
145G           GROŽNJA Z NAPADOM NA PROSTOST BLIŽNJE OSEBE - O
145H           GROŽNJA Z UNIÈENJEM PREMOŽENJA VELIKE VREDNOSTI BLIŽNJE OSEBE - O
145I           PROTI DVEMA ALI VEÈ OSEBAM - O
145J           Z GRDIM RAVNANJEM - O
146A           PRIZADETOST TELESNE CELOVITOSTI - O
146B           PRIZADETJE DUŠEVNE CELOVITOSTI - O
146C           POVZROÈITEV HUDE BOLEÈINE - O
146D           POVZROÈITEV TELESNEGA TRPLJENJA - O
146E           POVZROÈITEV DUŠEVNEGA TRPLJENJA - O
146F           USTRAHOVANJE - O
146G           USTRAHOVANJE TRETJE OSEBE - O
147A           PREISKAVA OSEBE - O
147B           PREISKAVA OSEBNIH STVARI - O
148A           PRISLUŠKOVANJE - O
148B           ZVOÈNO SNEMANJE - O
148C           PRENAŠANJE INFORMACIJ TRETJI OSEBI - O
1481           V PROSTORU
1482           IZVEN PROSTOROV
149A           SNEMANJE OSEBE - O
149B           SNEMANJE PROSTOROV - O
149C           PRENAŠANJE POSNETKA TRETJI OSEBI - O
150A           UPORABA TEHNIÈNIH SREDSTEV - O
150B           UPORABA KEMIÈNIH SREDSTEV - O
150C           PREPREÈITEV PRENOSA SPOROÈILA DO OŠKODOVANCA - O
150D           PRENOS SPOROÈILA TRETJI OSEBI - O
1501           PRESTREZANJE RAÈUNALNIŠKIH TELEKOMUNIKACIJ
1502           PRESTREZANJE TELEFONSKIH/TELEFAKS KOMUNIKACIJ
1503           PRESTREZANJE MOBILNIH TELEKOMUNIKACIJ(TELEFON, RADIO)
1504           ODPIRANJE TUJE ELEKTRONSKE POŠTE
1505           PREUSMERITEV ELEKTRONSKE POŠTE
1506           ODPIRANJE KLASIÈNIH PISANJ
151A           NA INTERNETU - O
151B           NA ELEKTRONSKI  OGLASNI DESKI - O
151C           V PISNEM MEDIJU - O
151D           NA RADIU - O
151E           NA TELEVIZIJI - O
152A           NEUPRAVIÈEN PRISTOP - O
152B           NOÈE SE ODSTRANITI - O
154A           ZBIRANJE V NASPROTJU Z ZAKONOM - O
154B           ZBIRANJE BREZ OSEBNE PRIVOLITVE - O
154C           POSREDOVANJE V NASPROTJU Z ZAKONOM - O
154D           POSREDOVANJE BREZ OSEBNE PRIVOLITVE - O
154E           JAVNA OBJAVA - O
154F           VDOR ALI NEPOOBLAŠÈEN V RAÈUNALNIŠKO VODENO ZBIRKO PODATKOV - O
154G           PREVZEM IDENTITETE DRUGE OSEBE - O
1541           PRI ELEKTRONSKEM TRGOVANJU
1542           PRI ELEKTRONSKEM BANÈNIŠTVU
1543           S POMOÈJO LAŽNE SPLETNE STRANI NA INTERNETU
1544           Z GOVOROM
1545           PISNO
1546           S POMOÈJO SREDSTEV JAVNEGA OBVEŠÈANJA
1547           OBJAVA NA MEDMREŽJU - O
1548           OMOGOÈI OBJAVO NA MEDMREŽJU - O
1549           PREGON NA PREDLOG (3.ODSTAVEK) - O
155A           PREPREÈITEV UPORABE PRAVICE DO PRAVNEGA SREDSTVA-O
155B           PREPREÈITEV DAJANJA POBUDE SPLOŠNEGA POMENA - O
1551           Z LAŽNO IZJAVO, S PREVARO
1552           Z GROŽNJO
1553           Z ZAVRŠBO
156A           PREPREÈITEV - O
156B           OVIRANJE - O
1561           S SILO
1562           Z RESNO GROŽNJO
1563           S PRESLEPITVIJO
157A           PREPREÈITEV TISKANJA - O
157B           PREPREÈITEV PRODAJE - O
157C           PREPREÈITEV RAZŠIRJANJA - O
157D           PREPREÈITEV ODDAJANJA - O
1571           V ZVEZI S TISKOVINAMI
1572           V ZVEZI Z RADIJSKIM PROGRAMOM
1573           V ZVEZI Z TELEVIZIJSKIM PROGRAMOM
1574           V ZVEZI Z INTERNETOM
158A           S SVOJIM IMENOM - O
158B           Z IMENOM KOGA DRUGEGA - O
158C           OBJAVA - O
158D           PRIKAZ - O
158E           IZVEDBA - O
158F           PRENOS - O
158G           SKAZITEV - O
158H           OKRNITEV - O
158I           DRUG NEUPRAVIÈEN POSEG - O
1581           NA PODROÈJU LITERATURE
1582           NA PODROÈJU VIDEA
1583           NA PODROÈJU AVDIA
1584           NA PODROÈJU PROGRAMSKE OPREME
1585           NA PODROÈJU DRUGIH AVTORSKIH PRAVIC
159A           REPRODUCIRANJE - O
159B           DISTRIBUCIJA - O
159C           DAJANJE V NAJEM - O
159D           POSREDOVANJE JAVNOSTI NA PODROÈJU LITERATURE - O
159E           NEUPRAVIÈENA UPORABA - O
1591           VIDEO PIRATSTVO
1592           PONAREJANJE PROGRAMSKE OPREME
1593           PREDELAVA PROGRAMA
1594           PRODAJA RAÈUNALNIKA Z NELICENÈNO PROGRAMSKO OPREMO
1595           TRDO RAÈUNALNIŠKO PIRATSTVO
1596           MEHKO RAÈUNALNIŠKO PIRATSTVO
1597           PIRATSTVO ELEKTRONSKIH OGLASNIH DESK
1598           PIRATSTVO NA INTERNETU
1599           AVDIO PIRATSTVO
160A           JAVNO ODDAJANJE(RADIO, TV) - O
160B           RAZMNOŽEVANJE - O
160C           DAJANJE V PROMET - O
1601           NEPOSREDNA IZVEDBA
1602           POSNETEK IZ IZVEDBE
1603           REPRODUCIRANJE - O
1604           OBJAVLJANJE - O
1605           RAZŠIRJANJE - O
1606           DAJANJE V NAJEM - O
161A           Z NEVPISOM V VOLILNI IMENIK-O
161B           S ÈRTANJEM IZ VOLILNEGA IMENIKA- O
1611           NA LOKALNIH VOLITVAH
1612           NA DRŽAVNIH VOLITVAH
162A           S SILO- O
162B           Z RESNO GROŽNJO- O
162C           S PODKUPOVANJEM- O
162D           S PRESLEPITVIJO - O
162E           DRUG NEDOVOLJEN NAÈIN - O
1621           PRI GLASOVANJU
1622           NA LOKALNIH VOLITVAH
1623           NA DRŽAVNIH VOLITVAH
163A           NAMESTO DRUGEGA - O
163B           VEÈKRATNO - O
1631           PRI GLASOVANJU
1632           NA LOKALNIH VOLITVAH
1633           NA DRŽAVNIH VOLITVAH
164A           ZAHTEVANJE ODGOVORNOSTI - O
164B           ZAHTEVANJE POJASNILA - O
1641           PRI GLASOVANJU
1642           NA LOKALNIH VOLITVAH
1643           NA DRŽAVNIH VOLITVAH
165A           UNIÈENJE - O
165B           POŠKODOVANJE - O
165C           PRIKRITJE - O
165D           PONAREDITEV - O
1651           PRI GLASOVANJU
1652           NA LOKALNIH VOLITVAH
1653           NA DRŽAVNIH VOLITVAH
166A           DODAJANJE GLASOVNIC/GLASOV - O
166B           ODVZEMANJE GLASOVNIC/GLASOV - O
166C           OBJAVA LAŽNEGA REZULTATA - O
1661           PRI GLASOVANJU
1662           NA LOKALNIH VOLITVAH
1663           NA DRŽAVNIH VOLITVAH
167A           PRI GLASOVANJU- O
167B           NA LOKALNIH VOLITVAH - O
167C           NA DRŽAVNIH VOLITVAH - O
168A           ZAHTEVANJE NAGRADE, DARILA... -O
168B           SPREJETJE NAGRADE, DARILA... -O
1681           PRI GLASOVANJU
1682           NA LOKALNIH VOLITVAH
1683           NA DRŽAVNIH VOLITVAH
169A           NA SPLETNIH STRANEH - O
169U           OBJAVA NA INTERNETU
169V           OBJAVA NA ELEKTRONSKI OGLASNI DESKI
1690           S TISKOM
1691           PREKO TELEVIZIJE
1692           NA JAVNEM SHODU
1693           Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
1694           VRNITEV RAZŽALITVE
1695           ZOPER DRŽAVNI ORGAN
1696           ZOPER URADNO OSEBO
1697           ZOPER VOJAŠKO OSEBO
1698           ZOPER POLICISTA
1699           PREKO RADIA
170A           NA SPLETNIH STRANEH - O
170U           OBJAVA NA INTERNETU
170V           OBJAVA NA ELEKTRONSKI OGLASNI DESKI
1700           S TISKOM
1701           PREKO RADIA
1702           PREKO TELEVIZIJE
1703           NA JAVNEM SHODU
1704           Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
1705           ZOPER DRŽAVNI ORGAN
1706           ZOPER URADNO OSEBO
1707           ZOPER VOJAŠKO OSEBO
1708           ZOPER POLICISTA
171U           OBJAVA NA INTERNETU
171V           OBJAVA NA ELEKTRONSKI OGLASNI DESKI
1710           S TISKOM
1711           PREKO RADIA
1712           PREKO TELEVIZIJE
1713           NA JAVNEM SHODU
1714           Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
1715           ZOPER DRŽAVNI ORGAN
1716           ZOPER URADNO OSEBO
1717           ZOPER VOJAŠKO OSEBO
1718           ZOPER POLICISTA
1719           NA SPLETNIH STRANEH- O
172U           OBJAVA NA INTERNETU
172V           OBJAVA NA ELEKTRONSKI OGLASNI DESKI
1720           S TISKOM
1721           PREKO RADIA
1722           PREKO TELEVIZIJE
1723           NA JAVNEM SHODU
1724           Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
1725           ZOPER DRŽAVNI ORGAN
1726           ZOPER URADNO OSEBO
1727           ZOPER VOJAŠKO OSEBO
1728           ZOPER POLICISTA
1729           NA SPLETNIH STRANEH- O
173A           NEPOSREDNO OÈITANJE - O
173B           OÈITANJE PREKO TRETJE OSEBE - O
173U           OBJAVA NA INTERNETU
173V           OBJAVA NA ELEKTRONSKI OGLASNI DESKI
1730           S TISKOM
1731           PREKO RADIA
1732           PREKO TELEVIZIJE
1733           NA JAVNEM SHODU
1734           Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
1735           ZOPER DRŽAVNI ORGAN
1736           ZOPER URADNO OSEBO
1737           ZOPER VOJAŠKO OSEBO
1738           ZOPER POLICISTA
1739           NA SPLETNIH STRANEH- O
174A           ZOPER REPUBLIKO- O
174B           ZOPER PREDSEDNIKA REPUBLIKE- O
174C           ZOPER SIMBOLE DRŽAVE - O
1741           OBJAVA NA INTERNETU
1742           OBJAVA NA ELEKTRONSKI OGLASNI DESKI
1743           S TISKOM
1744           PREKO RADIA
1745           PREKO TELEVIZIJE
1746           NA JAVNEM SHODU
1747           Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
175A           ZOPER DRŽAVO - O
175B           ZOPER ŠEFA DRŽAVE - O
175C           ZOPER DIPLOMATSKEGA PREDSTAVNIKA DRŽAVE - O
175D           ZOPER SIMBOLE DRŽAVE - O
175E           ZOPER MEDNARODNO ORGANIZACIJO - O
1751           OBJAVA NA INTERNETU
1752           OBJAVA NA ELEKTRONSKI OGLASNI DESKI
1753           S TISKOM
1754           PREKO RADIA
1755           PREKO TELEVIZIJE
1756           NA JAVNEM SHODU
1757           Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
176A           PROTI SLOVENSKEMU NARODU - O
176B           PROTI ITALIJANSKI NARODNI SKUPNOSTI- O
176C           PROTI MADŽARSKI NARODNI SKUPNOSTI- O
1761           OBJAVA NA INTERNETU
1762           OBJAVA NA ELEKTRONSKI OGLASNI DESKI
1763           S TISKOM
1764           PREKO RADIA
1765           PREKO TELEVIZIJE
1766           NA JAVNEM SHODU
1767           Z DRUGIMI SREDSTVI JAVNEGA OBVEŠÈANJA
180A           UPORABA SILE - O
180B           GROŽNJA Z UPORABO SILE - O
180C           GROŽNJA S ŠKODO NA ÈASTI IN DOBREMU IMENU - O
180D           GROŽNJA Z MATERIALNO ŠKODO - O
180E           GROZOVIT NAÈIN - O
180F           POSEBNO PONIŽEVALEN NAÈIN - O
