   KDKO                   KD - KRIMINALISTIČNA OZNAČBA

   1271                   DVOJNI
   1272                   MNOŽIČNI
   1273                   SERIJSKI
   1274                   UMOR IN SAMOMOR
   1275                   PO NAROČILU
   1276                   DOLGOTRAJNI SPOR
   128A                   ZARADI NAPADA - O
   128B                   ZARADI HUDE ŽALITVE - O
   131A                   NAPELJEVANJE K SAMOMORU - O
   131B                   POMOČ PRI SAMOMORU - O
   1311                   BISTVENO ZMANJŠANA PRIŠTEVNOST ŽRTVE
   1312                   FIZIČNO NASILJE NAD ŽRTVIJO
   1313                   PSIHIČNO NASILJE NAD ŽRTVIJO
   132A                   PREKINITEV NOSEČNOSTI - O
   132B                   NEDOKONČANA PREKINITEV NOSEČNOSTI - O
   132C                   POMOČ PRI PREKINITVI NOSEČNOSTI - O
   1321                   ZDRAVNIK V ZDRAVSTVENI USTANOVI
   1322                   ZDRAVNIK IZVEN ZDRAVSTVENE USTANOVE
   1323                   MAZAŠTVO
   133A                   ZAČASNA OKVARA/OSLABITEV DELA TELESA/ORGANA - O
   133B                   ZAČASNO ZMANJŠANA ZMOŽNOST ZA DELO - O
   133C                   PRIZADETA ZUNANJOST - O
   133D                   ZAČASNA OKVARA ZDRAVJA(BOLEZEN) - O
   1331                   ZARADI SPORA, PREPIRA
   1332                   PRI DELU
   1333                   PO NAROČILU
   1334                   PRI IZSILJEVANJU
   1335                   V SKUPINI
   134A                   POTENCIALNA NEVARNOST ZA ŽIVLJENJE - O
   134B                   UNIČENJE/ZNATNA OSLABITEV DELA TELESA/ORGANA - O
   134C                   ZAČASNA ZNATNA OSLABITEV POMEMBNEGA DELA TELESA/ORGANA - O
   134D                   ZAČASNA NEZMOŽNOST ZA VSAKRŠNO DELO - O
   134E                   TRAJNO ZMANJŠANA ZMOŽNOST ZA DELO - O
   134F                   ZAČASNO ZNATNO ZMANJŠANA ZMOŽNOST ZA DELO - O
   134G                   ZAČASNA SKAŽENOST - O
   134H                   ZAČASNO HUDO ALI ZA VSELEJ V MANJŠI MERI OKVARJENO ZDRAVJE - O
   1341                   ZARADI SPORA, PREPIRA
   1342                   PRI DELU
   1343                   PO NAROČILU
   1344                   PRI IZSILJEVANJU
   1345                   V SKUPINI
   135A                   DEJANSKA NEVARNOST ZA ŽIVLJENJE - O
   135B                   UNIČEN/ZA VSELEJ ZNATNO OSLABLJEN POMEMBEN DEL TELESA/ORGANA - O
   135C                   TRAJNA NEZMOŽNOST ZA VSAKRŠNO DELO - O
   135D                   TRAJNA SKAŽENOST - O
   135E                   TRAJNO HUDO OKVARJENO ZDRAVJE - O
   1351                   ZARADI SPORA, PREPIRA
   1352                   PRI DELU
   1353                   PO NAROČILU
   1354                   PRI IZSILJEVANJU
   1355                   V SKUPINI
   136A                   S HUDIMI TELESNIMI POŠKODBAMI- O
   136B                   S SMRTNIM IZIDOM - O
   1361                   NAČRTOVAN PRETEP
   137A                   NEVARNOST HUDE TELESNE POŠKODBE - O
   137B                   NEVARNOST HUDE OKVARE ZDRAVJA - O
   139A                   OPUSTITEV POMOČI ZAUPANI OSEBI - O
   139B                   OPUSTITEV POMOČI OSEBI, ZA KATERO JE DOLŽAN SKRBETI - O
   139C                   NEVARNOST ZA ŽIVLJENJE - O
   139D                   NEVARNOST ZA ZDRAVJE - O
   140A                   BREZ NEVARNOSTI ZA STORILCA - O
   140B                   BREZ NEVARNOSTI ZA TRETJO OSEBO - O
   141A                   OMEJITEV PRAVIC ALI SVOBOŠČIN - O
   141B                   DODELITEV POSEBNE PRAVICE ALI UGODNOSTI - O
   141C                   PROTI POSAMEZNIKU, KI SE ZAVZEMA ZA ENAKOPRAVNOST - O
   141D                   PROTI ORGANIZACIJI, KI SE ZAVZEMA ZA ENAKOPRAVNOST - O
   142A                   FIZIČNA PRISILA - O
   142B                   PRISILA Z RESNO GROŽNJO - O
   142C                   K STORITVI - O
   142D                   K OPUSTITVI - O
   142E                   K TRPLJENJU - O
   143A                   ZAPRTJE V PROSTOR - O
   143B                   PRIKLENITEV, VEZANJE IPD. - O
   143C                   NA GROZOVIT NAČIN - O
   143D                   ZA DALJŠE OBDOBJE(VEČ KOT TEDEN DNI) - O
   144A                   PRISILJENJE ŽRTVE V DOLOČENO RAVNANJE -O
   144B                   PRISILJENJE TRETJE OSEBE V DOLOČENO RAVNANJE - O
   144C                   GROŽNJA Z UMOROM - O
   144D                   GROŽNJA S HUDO TELESNO POŠKODBO - O
   1441                   S PRESLEPITVIJO
   145A                   GROŽNJA Z NAPADOM NA TELO - O
   145B                   GROŽNJA Z NAPADOM NA ŽIVLJENJE - O
   146A                   PRIZADETOST TELESNE CELOVITOSTI - O
   146B                   PRIZADETJE DUŠEVNE CELOVITOSTI - O
   147A                   PREISKAVA OSEBE - O
   147B                   PREISKAVA OSEBNIH STVARI - O
   148A                   PRISLUŠKOVANJE - O
   148B                   ZVOČNO SNEMANJE - O
   148C                   PRENAŠANJE INFORMACIJ TRETJI OSEBI - O
   1481                   V PROSTORU
   1482                   IZVEN PROSTOROV
   149A                   SNEMANJE OSEBE - O
   149B                   SNEMANJE PROSTOROV - O
   149C                   PRENAŠANJE POSNETKA TRETJI OSEBI - O
   150A                   UPORABA TEHNIČNIH SREDSTEV - O
   150B                   UPORABA KEMIČNIH SREDSTEV - O
   150C                   PREPREČITEV PRENOSA SPOROČILA DO OŠKODOVANCA - O
   150D                   PRENOS SPOROČILA TRETJI OSEBI - O
   1501                   PRESTREZANJE RAČUNALNIŠKIH TELEKOMUNIKACIJ
   1502                   PRESTREZANJE TELEFONSKIH/TELEFAKS KOMUNIKACIJ
   1503                   PRESTREZANJE MOBILNIH TELEKOMUNIKACIJ(TELEFON, RADIO)
   1504                   ODPIRANJE TUJE ELEKTRONSKE POŠTE
   1505                   PREUSMERITEV ELEKTRONSKE POŠTE
   1506                   ODPIRANJE KLASIČNIH PISANJ
   151A                   NA INTERNETU - O
   151B                   NA ELEKTRONSKI  OGLASNI DESKI - O
   151C                   V PISNEM MEDIJU - O
   151D                   NA RADIU - O
   151E                   NA TELEVIZIJI - O
   152A                   NEUPRAVIČEN PRISTOP - O
   152B                   NOČE SE ODSTRANITI - O
   154A                   ZBIRANJE V NASPROTJU Z ZAKONOM - O
   154B                   ZBIRANJE BREZ OSEBNE PRIVOLITVE - O
   154C                   POSREDOVANJE V NASPROTJU Z ZAKONOM - O
   154D                   POSREDOVANJE BREZ OSEBNE PRIVOLITVE - O
   1541                   PRI ELEKTRONSKEM TRGOVANJU
   1542                   PRI ELEKTRONSKEM BANČNIŠTVU
   1543                   S POMOČJO LAŽNE SPLETNE STRANI NA INTERNETU
   1544                   Z GOVOROM
   1545                   PISNO
   1546                   S POMOČJO SREDSTEV JAVNEGA OBVEŠČANJA
   155A                   PREPREČITEV UPORABE PRAVICE DO PRAVNEGA SREDSTVA-O
   155B                   PREPREČITEV DAJANJA POBUDE SPLOŠNEGA POMENA - O
   1551                   Z LAŽNO IZJAVO, S PREVARO
   1552                   Z GROŽNJO
   1553                   Z ZAVRŠBO
   156A                   PREPREČITEV - O
   156B                   OVIRANJE - O
   1561                   S SILO
   1562                   Z RESNO GROŽNJO
   1563                   S PRESLEPITVIJO
   157A                   PREPREČITEV TISKANJA - O
   157B                   PREPREČITEV PRODAJE - O
   157C                   PREPREČITEV RAZŠIRJANJA - O
   157D                   PREPREČITEV ODDAJANJA - O
   1571                   V ZVEZI S TISKOVINAMI
   1572                   V ZVEZI Z RADIJSKIM PROGRAMOM
   1573                   V ZVEZI Z TELEVIZIJSKIM PROGRAMOM
   1574                   V ZVEZI Z INTERNETOM
   158A                   S SVOJIM IMENOM - O
   158B                   Z IMENOM KOGA DRUGEGA - O
   158C                   OBJAVA - O
   158D                   PRIKAZ - O
   158E                   IZVEDBA - O
   158F                   PRENOS - O
   158G                   SKAZITEV - O
   158H                   OKRNITEV - O
   158I                   DRUG NEUPRAVIČEN POSEG - O
